Pitch motor $u_\theta$ [V],Yaw motor $u_\psi$ [V],Pitch angle $\theta$ [rad],Yaw angle $\psi$ [rad],Sample time $\Delta t$ [s]
1.2098,0.74441,-0.66698,0.81165,0.01
1.2098,0.74441,-0.66941,0.82703,
1.2098,0.74441,-0.67022,0.81813,
1.2098,0.74441,-0.66698,0.80841,
1.2098,0.74441,-0.66981,0.82379,
1.2098,0.74441,-0.669,0.82865,
1.2098,0.74441,-0.6686,0.81651,
1.2098,0.74441,-0.66698,0.81165,
1.2098,0.74441,-0.66819,0.8157,
1.2098,0.74441,-0.6686,0.81408,
1.2098,0.74441,-0.66819,0.81165,
1.2098,0.74441,-0.66941,0.82541,
1.2098,0.74441,-0.66617,0.81408,
1.2098,0.74441,-0.6686,0.81974,
1.2098,0.74441,-0.66819,0.81651,
1.2098,0.74441,-0.66819,0.80841,
1.2098,0.74441,-0.6686,0.81408,
1.2098,0.74441,-0.669,0.82865,
1.2098,0.74441,-0.67062,0.81974,
1.2098,0.74441,-0.66779,0.80598,
1.2098,0.74441,-0.669,0.82865,
1.2098,0.74441,-0.66981,0.82379,
1.2098,0.74441,-0.66819,0.80436,
1.2098,0.74441,-0.669,0.82136,
1.2098,0.74441,-0.66739,0.80922,
1.2098,0.74441,-0.669,0.82622,
1.2098,0.74441,-0.66819,0.8157,
1.2098,0.74441,-0.67022,0.82136,
1.2098,0.74441,-0.66819,0.81165,
1.2098,0.74441,-0.66658,0.81327,
1.2098,0.74441,-0.66941,0.82703,
1.2098,0.74441,-0.66819,0.8076,
1.2098,0.74441,-0.66819,0.8076,
1.2098,0.74441,-0.669,0.82865,
1.2098,0.74441,-0.67103,0.81813,
1.2098,0.74441,-0.66779,0.81084,
1.2098,0.74441,-0.67548,0.82541,
1.2098,0.74441,-0.6767,0.81893,
1.2098,0.74441,-0.67589,0.8246,
1.2098,0.74441,-0.67305,0.80922,
1.2098,0.74441,-0.67386,0.80679,
1.2098,0.74441,-0.67346,0.80517,
1.2098,0.74441,-0.67589,0.82541,
1.2098,0.74441,-0.67629,0.82136,
1.2098,0.74441,-0.67467,0.83027,
1.2098,0.74441,-0.67305,0.81084,
1.2098,0.74441,-0.67508,0.82784,
1.2098,0.74441,-0.67467,0.82379,
1.2098,0.74441,-0.67629,0.82055,
1.2098,0.74441,-0.67427,0.81084,
1.2098,0.74441,-0.67508,0.82541,
1.2098,0.74441,-0.67427,0.81246,
1.2098,0.74441,-0.67548,0.82622,
1.2098,0.74441,-0.67305,0.81327,
1.2098,0.74441,-0.67386,0.80679,
1.2098,0.74441,-0.67265,0.81246,
1.2098,0.74441,-0.67386,0.80841,
1.2098,0.74441,-0.67346,0.8157,
1.2098,0.74441,-0.67508,0.81651,
1.2098,0.74441,-0.67508,0.82703,
1.2098,0.74441,-0.67629,0.82136,
1.2098,0.74441,-0.67427,0.81084,
1.2098,0.74441,-0.67589,0.8246,
1.2098,0.74441,-0.67467,0.82865,
1.2098,0.74441,-0.67589,0.82217,
